ID,Cord (m),SSD_Thickness (m)
1341,0.1016,0.00251435
496,0.1524,0.00193287
81,0.3048,0.00392107
1078,0.0254,0.0043284
1444,0.1016,0.0408268
1016,0.0254,0.000848633
67,0.3048,0.00336729
1030,0.0254,0.000873218
1292,0.1016,0.00150092
82,0.3048,0.00392107
148,0.3048,0.00529514
1199,0.0254,0.0176631
647,0.1524,0.0208438
949,0.0508,0.036484
24,0.3048,0.00283081
700,0.1524,0.0483159
1028,0.0254,0.000873218
1053,0.0254,0.000930789
1248,0.1016,0.00121072
1432,0.1016,0.0368233
191,0.2286,0.00214345
892,0.0508,0.0271925
178,0.3048,0.00579636
796,0.0508,0.00152689
146,0.3048,0.00529514
197,0.2286,0.00214345
1258,0.1016,0.00131983
883,0.0508,0.0264269
1059,0.0254,0.00420654
821,0.0508,0.00566229
636,0.1524,0.0193001
41,0.3048,0.00310138
1113,0.0254,0.00461377
1326,0.1016,0.00245138
1325,0.1016,0.00245138
1178,0.0254,0.0165706
1381,0.1016,0.0103088
301,0.2286,0.00400603
1264,0.1016,0.00131983
687,0.1524,0.0252785
608,0.1524,0.00752039
251,0.2286,0.00293031
166,0.3048,0.00497773
1051,0.0254,0.000930789
955,0.0508,0.036484
1450,0.1016,0.0408268
983,0.0254,0.00041229
451,0.2286,0.0132672
799,0.0508,0.00529514
1335,0.1016,0.00251435
156,0.3048,0.00529514
143,0.3048,0.00529514
400,0.2286,0.0104404
1307,0.1016,0.002211
677,0.1524,0.0233328
812,0.0508,0.00544854
1179,0.0254,0.0165706
382,0.2286,0.00614329
824,0.0508,0.00566229
600,0.1524,0.00752039
1191,0.0254,0.0172206
536,0.1524,0.00294804
1069,0.0254,0.0043284
396,0.2286,0.0104404
604,0.1524,0.00752039
783,0.0508,0.00142788
1361,0.1016,0.00578076
1223,0.0254,0.0214178
662,0.1524,0.0233328
959,0.0508,0.036484
1040,0.0254,0.000907475
1429,0.1016,0.0368233
121,0.3048,0.00452492
1490,0.1016,0.0528487
1280,0.1016,0.00146332
198,0.2286,0.00214345
756,0.0508,0.000791822
528,0.1524,0.00294804
561,0.1524,0.00433288
960,0.0508,0.036484
1103,0.0254,0.00461377
663,0.1524,0.0233328
543,0.1524,0.00401199
26,0.3048,0.00283081
1330,0.1016,0.00245138
1091,0.0254,0.00449821
456,0.1524,0.0015988
1195,0.0254,0.0172206
89,0.3048,0.00392107
607,0.1524,0.00752039
1398,0.1016,0.0124596
862,0.0508,0.0150478
913,0.0508,0.0282593
168,0.3048,0.00497773
854,0.0508,0.014072
576,0.1524,0.00485029
635,0.1524,0.0193001
1101,0.0254,0.00461377
1218,0.0254,0.0214178
1332,0.1016,0.00245138
1382,0.1016,0.0103088
1190,0.0254,0.0172206
115,0.3048,0.00452492
1072,0.0254,0.0043284
448,0.2286,0.0132672
485,0.1524,0.00193287
1033,0.0254,0.000907475
1360,0.1016,0.0052139
1237,0.0254,0.0229028
164,0.3048,0.00497773
436,0.2286,0.0123481
569,0.1524,0.00485029
900,0.0508,0.0271925
606,0.1524,0.00752039
582,0.1524,0.00485029
1464,0.1016,0.0418756
1396,0.1016,0.0124596
401,0.2286,0.0104404
585,0.1524,0.00525474
449,0.2286,0.0132672
826,0.0508,0.00566229
8,0.3048,0.00266337
386,0.2286,0.00614329
202,0.2286,0.00229336
210,0.2286,0.00229336
850,0.0508,0.014072
781,0.0508,0.00142788
161,0.3048,0.00497773
1064,0.0254,0.00420654
1440,0.1016,0.0368233
233,0.2286,0.0027238
325,0.2286,0.0042862
877,0.0508,0.0264269
1139,0.0254,0.0130253
298,0.2286,0.00372371
13,0.3048,0.00266337
1297,0.1016,0.00202822
372,0.2286,0.0051942
1458,0.1016,0.0418756
308,0.2286,0.00400603
1137,0.0254,0.0130253
307,0.2286,0.00400603
547,0.1524,0.00401199
1221,0.0254,0.0214178
406,0.2286,0.0104404
50,0.3048,0.00331266
549,0.1524,0.00401199
1291,0.1016,0.00150092
213,0.2286,0.00229336
225,0.2286,0.00253511
282,0.2286,0.00346574
142,0.3048,0.00495741
614,0.1524,0.00909175
1082,0.0254,0.00449821
1433,0.1016,0.0368233
104,0.3048,0.00425727
1231,0.0254,0.0229028
1136,0.0254,0.0130253
193,0.2286,0.00214345
457,0.1524,0.0015988
880,0.0508,0.0264269
132,0.3048,0.00495741
1362,0.1016,0.00578076
1266,0.1016,0.00131983
196,0.2286,0.00214345
1162,0.0254,0.016104
1176,0.0254,0.0165706
950,0.0508,0.036484
1348,0.1016,0.00478288
676,0.1524,0.0233328
977,0.0254,0.00041229
914,0.0508,0.0282593
1019,0.0254,0.000873218
1254,0.1016,0.00121072
763,0.0508,0.000791822
102,0.3048,0.00425727
1115,0.0254,0.0121808
1031,0.0254,0.000907475
355,0.2286,0.00509068
187,0.3048,0.00579636
124,0.3048,0.00452492
1303,0.1016,0.00202822
743,0.0508,0.00076193
593,0.1524,0.00525474
378,0.2286,0.00614329
691,0.1524,0.0252785
61,0.3048,0.00331266
990,0.0254,0.000428464
1173,0.0254,0.0165706
1393,0.1016,0.0103088
207,0.2286,0.00229336
338,0.2286,0.00473801
1256,0.1016,0.00131983
901,0.0508,0.0271925
375,0.2286,0.0051942
1305,0.1016,0.00202822
659,0.1524,0.0208438
646,0.1524,0.0208438
1268,0.1016,0.00131983
810,0.0508,0.00544854
630,0.1524,0.0193001
1013,0.0254,0.000848633
1402,0.1016,0.0124596
1442,0.1016,0.0408268
1454,0.1016,0.0408268
615,0.1524,0.00909175
1236,0.0254,0.0229028
727,0.0508,0.000740478
571,0.1524,0.00485029
1333,0.1016,0.00251435
755,0.0508,0.000791822
785,0.0508,0.00142788
236,0.2286,0.0027238
337,0.2286,0.00473801
1328,0.1016,0.00245138
1347,0.1016,0.00478288
782,0.0508,0.00142788
336,0.2286,0.00473801
660,0.1524,0.0208438
227,0.2286,0.00253511
1023,0.0254,0.000873218
234,0.2286,0.0027238
794,0.0508,0.00152689
377,0.2286,0.00614329
1135,0.0254,0.0130253
733,0.0508,0.000740478
181,0.3048,0.00579636
240,0.2286,0.0027238
714,0.1524,0.0584113
952,0.0508,0.036484
779,0.0508,0.00142788
878,0.0508,0.0264269
1384,0.1016,0.0103088
1435,0.1016,0.0368233
418,0.2286,0.0111706
564,0.1524,0.00433288
1472,0.1016,0.0418756
385,0.2286,0.00614329
1448,0.1016,0.0408268
470,0.1524,0.00172668
1130,0.0254,0.0121808
14,0.3048,0.00266337
128,0.3048,0.00495741
876,0.0508,0.0264269
1377,0.1016,0.00592927
127,0.3048,0.00452492
273,0.2286,0.00346574
1226,0.0254,0.0229028
1047,0.0254,0.000930789
1192,0.0254,0.0172206
509,0.1524,0.00209405
293,0.2286,0.00372371
275,0.2286,0.00346574
745,0.0508,0.00076193
1489,0.1016,0.0528487
1283,0.1016,0.00150092
1243,0.1016,0.00121072
511,0.1524,0.00209405
654,0.1524,0.0208438
208,0.2286,0.00229336
1125,0.0254,0.0121808
434,0.2286,0.0123481
1050,0.0254,0.000930789
350,0.2286,0.00509068
1211,0.0254,0.0214178
840,0.0508,0.00580776
808,0.0508,0.00544854
965,0.0254,0.000400682
1009,0.0254,0.000848633
725,0.1524,0.0584113
1492,0.1016,0.0528487
1261,0.1016,0.00131983
441,0.2286,0.0132672
272,0.2286,0.00346574
1121,0.0254,0.0121808
1241,0.1016,0.00121072
330,0.2286,0.0042862
17,0.3048,0.00283081
22,0.3048,0.00283081
1470,0.1016,0.0418756
239,0.2286,0.0027238
1086,0.0254,0.00449821
674,0.1524,0.0233328
1496,0.1016,0.0528487
723,0.1524,0.0584113
310,0.2286,0.00400603
916,0.0508,0.0282593
621,0.1524,0.00909175
188,0.3048,0.00579636
332,0.2286,0.00473801
1343,0.1016,0.00251435
1045,0.0254,0.000930789
566,0.1524,0.00433288
263,0.2286,0.00313525
941,0.0508,0.0341183
790,0.0508,0.00152689
951,0.0508,0.036484
491,0.1524,0.00193287
974,0.0254,0.00041229
688,0.1524,0.0252785
806,0.0508,0.00529514
1185,0.0254,0.0172206
1214,0.0254,0.0214178
1037,0.0254,0.000907475
475,0.1524,0.00172668
1363,0.1016,0.00578076
1327,0.1016,0.00245138
868,0.0508,0.0150478
152,0.3048,0.00529514
624,0.1524,0.00909175
1011,0.0254,0.000848633
838,0.0508,0.00580776
1143,0.0254,0.0130253
767,0.0508,0.000812164
269,0.2286,0.00313525
1180,0.0254,0.0165706
645,0.1524,0.0193001
300,0.2286,0.00400603
226,0.2286,0.00253511
147,0.3048,0.00529514
980,0.0254,0.00041229
77,0.3048,0.00336729
373,0.2286,0.0051942
458,0.1524,0.0015988
679,0.1524,0.0252785
1380,0.1016,0.0103088
40,0.3048,0.00310138
1271,0.1016,0.00146332
245,0.2286,0.00293031
93,0.3048,0.00392107
1122,0.0254,0.0121808
573,0.1524,0.00485029
1007,0.0254,0.000439472
360,0.2286,0.00509068
986,0.0254,0.000428464
352,0.2286,0.00509068
661,0.1524,0.0208438
437,0.2286,0.0123481
95,0.3048,0.00392107
1379,0.1016,0.0103088
1465,0.1016,0.0418756
948,0.0508,0.0341183
1200,0.0254,0.0176631
11,0.3048,0.00266337
907,0.0508,0.0282593
324,0.2286,0.0042862
932,0.0508,0.0289853
1269,0.1016,0.00146332
557,0.1524,0.00433288
201,0.2286,0.00214345
56,0.3048,0.00331266
769,0.0508,0.000812164
222,0.2286,0.00253511
1275,0.1016,0.00146332
134,0.3048,0.00495741
387,0.2286,0.00614329
292,0.2286,0.00372371
516,0.1524,0.00243851
209,0.2286,0.00229336
1349,0.1016,0.00478288
834,0.0508,0.00580776
1077,0.0254,0.0043284
357,0.2286,0.00509068
758,0.0508,0.000791822
811,0.0508,0.00544854
835,0.0508,0.00580776
37,0.3048,0.00310138
1422,0.1016,0.0337792
1005,0.0254,0.000439472
76,0.3048,0.00336729
695,0.1524,0.0483159
320,0.2286,0.0042862
184,0.3048,0.00579636
3,0.3048,0.00266337
111,0.3048,0.00425727
27,0.3048,0.00283081
1157,0.0254,0.016104
940,0.0508,0.0341183
203,0.2286,0.00229336
1161,0.0254,0.016104
1012,0.0254,0.000848633
681,0.1524,0.0252785
1085,0.0254,0.00449821
71,0.3048,0.00336729
313,0.2286,0.00400603
241,0.2286,0.0027238
847,0.0508,0.014072
248,0.2286,0.00293031
581,0.1524,0.00485029
1322,0.1016,0.00245138
167,0.3048,0.00497773
890,0.0508,0.0271925
1099,0.0254,0.00461377
57,0.3048,0.00331266
21,0.3048,0.00283081
133,0.3048,0.00495741
423,0.2286,0.0123481
200,0.2286,0.00214345
640,0.1524,0.0193001
805,0.0508,0.00529514
256,0.2286,0.00293031
562,0.1524,0.00433288
792,0.0508,0.00152689
1056,0.0254,0.000930789
699,0.1524,0.0483159
591,0.1524,0.00525474
1096,0.0254,0.00449821
870,0.0508,0.0264269
220,0.2286,0.00253511
140,0.3048,0.00495741
1116,0.0254,0.0121808
1296,0.1016,0.00202822
154,0.3048,0.00529514
179,0.3048,0.00579636
804,0.0508,0.00529514
480,0.1524,0.00172668
918,0.0508,0.0282593
716,0.1524,0.0584113
305,0.2286,0.00400603
817,0.0508,0.00544854
1474,0.1016,0.0437259
603,0.1524,0.00752039
954,0.0508,0.036484
771,0.0508,0.000812164
925,0.0508,0.0289853
741,0.0508,0.00076193
1502,0.1016,0.0528487
867,0.0508,0.0150478
910,0.0508,0.0282593
819,0.0508,0.00544854
1260,0.1016,0.00131983
1462,0.1016,0.0418756
472,0.1524,0.00172668
1460,0.1016,0.0418756
145,0.3048,0.00529514
348,0.2286,0.00509068
798,0.0508,0.00152689
1150,0.0254,0.016104
1055,0.0254,0.000930789
1247,0.1016,0.00121072
68,0.3048,0.00336729
136,0.3048,0.00495741
88,0.3048,0.00392107
343,0.2286,0.00473801
1273,0.1016,0.00146332
1353,0.1016,0.0052139
637,0.1524,0.0193001
539,0.1524,0.00294804
1194,0.0254,0.0172206
930,0.0508,0.0289853
107,0.3048,0.00425727
742,0.0508,0.00076193
643,0.1524,0.0193001
253,0.2286,0.00293031
414,0.2286,0.0111706
199,0.2286,0.00214345
859,0.0508,0.0150478
722,0.1524,0.0584113
945,0.0508,0.0341183
1132,0.0254,0.0130253
1041,0.0254,0.000907475
917,0.0508,0.0282593
1317,0.1016,0.002211
704,0.1524,0.0483159
394,0.2286,0.0104404
672,0.1524,0.0233328
238,0.2286,0.0027238
1032,0.0254,0.000907475
658,0.1524,0.0208438
430,0.2286,0.0123481
321,0.2286,0.0042862
232,0.2286,0.0027238
1493,0.1016,0.0528487
5,0.3048,0.00266337
693,0.1524,0.0252785
380,0.2286,0.00614329
1259,0.1016,0.00131983
814,0.0508,0.00544854
1084,0.0254,0.00449821
487,0.1524,0.00193287
481,0.1524,0.00172668
789,0.0508,0.00152689
734,0.0508,0.000740478
1477,0.1016,0.0437259
649,0.1524,0.0208438
631,0.1524,0.0193001
864,0.0508,0.0150478
105,0.3048,0.00425727
788,0.0508,0.00152689
230,0.2286,0.0027238
1046,0.0254,0.000930789
415,0.2286,0.0111706
667,0.1524,0.0233328
567,0.1524,0.00433288
852,0.0508,0.014072
25,0.3048,0.00283081
257,0.2286,0.00293031
580,0.1524,0.00485029
150,0.3048,0.00529514
117,0.3048,0.00452492
934,0.0508,0.0289853
825,0.0508,0.00566229
846,0.0508,0.014072
947,0.0508,0.0341183
1123,0.0254,0.0121808
243,0.2286,0.0027238
989,0.0254,0.000428464
53,0.3048,0.00331266
119,0.3048,0.00452492
586,0.1524,0.00525474
774,0.0508,0.000812164
129,0.3048,0.00495741
362,0.2286,0.0051942
328,0.2286,0.0042862
461,0.1524,0.0015988
1186,0.0254,0.0172206
1080,0.0254,0.0043284
1428,0.1016,0.0368233
791,0.0508,0.00152689
519,0.1524,0.00243851
64,0.3048,0.00331266
12,0.3048,0.00266337
869,0.0508,0.0150478
784,0.0508,0.00142788
601,0.1524,0.00752039
354,0.2286,0.00509068
91,0.3048,0.00392107
1073,0.0254,0.0043284
985,0.0254,0.000428464
397,0.2286,0.0104404
317,0.2286,0.0042862
843,0.0508,0.014072
1340,0.1016,0.00251435
694,0.1524,0.0483159
1008,0.0254,0.000848633
1270,0.1016,0.00146332
629,0.1524,0.00909175
512,0.1524,0.00243851
967,0.0254,0.000400682
1320,0.1016,0.00245138
296,0.2286,0.00372371
1290,0.1016,0.00150092
1286,0.1016,0.00150092
428,0.2286,0.0123481
793,0.0508,0.00152689
744,0.0508,0.00076193
919,0.0508,0.0289853
453,0.2286,0.0132672
1021,0.0254,0.000873218
1389,0.1016,0.0103088
746,0.0508,0.00076193
9,0.3048,0.00266337
894,0.0508,0.0271925
271,0.2286,0.00313525
1228,0.0254,0.0229028
217,0.2286,0.00253511
73,0.3048,0.00336729
975,0.0254,0.00041229
522,0.1524,0.00243851
280,0.2286,0.00346574
861,0.0508,0.0150478
863,0.0508,0.0150478
153,0.3048,0.00529514
84,0.3048,0.00392107
823,0.0508,0.00566229
408,0.2286,0.0111706
15,0.3048,0.00283081
617,0.1524,0.00909175
1208,0.0254,0.0176631
1155,0.0254,0.016104
775,0.0508,0.000812164
18,0.3048,0.00283081
1457,0.1016,0.0408268
1158,0.0254,0.016104
987,0.0254,0.000428464
1309,0.1016,0.002211
177,0.3048,0.00579636
311,0.2286,0.00400603
416,0.2286,0.0111706
1142,0.0254,0.0130253
86,0.3048,0.00392107
1058,0.0254,0.00420654
459,0.1524,0.0015988
1295,0.1016,0.00202822
1039,0.0254,0.000907475
613,0.1524,0.00909175
897,0.0508,0.0271925
1148,0.0254,0.016104
101,0.3048,0.00425727
1376,0.1016,0.00592927
1311,0.1016,0.002211
514,0.1524,0.00243851
1054,0.0254,0.000930789
1144,0.0254,0.0130253
494,0.1524,0.00193287
258,0.2286,0.00293031
1229,0.0254,0.0229028
1263,0.1016,0.00131983
882,0.0508,0.0264269
364,0.2286,0.0051942
19,0.3048,0.00283081
237,0.2286,0.0027238
1469,0.1016,0.0418756
1439,0.1016,0.0368233
284,0.2286,0.00346574
752,0.0508,0.000791822
261,0.2286,0.00313525
1420,0.1016,0.0337792
47,0.3048,0.00310138
732,0.0508,0.000740478
1187,0.0254,0.0172206
462,0.1524,0.0015988
1453,0.1016,0.0408268
31,0.3048,0.00310138
933,0.0508,0.0289853
1034,0.0254,0.000907475
160,0.3048,0.00497773
577,0.1524,0.00485029
739,0.0508,0.00076193
526,0.1524,0.00243851
171,0.3048,0.00497773
899,0.0508,0.0271925
690,0.1524,0.0252785
1220,0.0254,0.0214178
1249,0.1016,0.00121072
1371,0.1016,0.00592927
65,0.3048,0.00331266
729,0.0508,0.000740478
898,0.0508,0.0271925
329,0.2286,0.0042862
1497,0.1016,0.0528487
736,0.0508,0.000740478
131,0.3048,0.00495741
403,0.2286,0.0104404
264,0.2286,0.00313525
359,0.2286,0.00509068
1202,0.0254,0.0176631
656,0.1524,0.0208438
34,0.3048,0.00310138
935,0.0508,0.0341183
35,0.3048,0.00310138
1299,0.1016,0.00202822
800,0.0508,0.00529514
513,0.1524,0.00243851
946,0.0508,0.0341183
1430,0.1016,0.0368233
1184,0.0254,0.0172206
369,0.2286,0.0051942
1418,0.1016,0.0337792
611,0.1524,0.00752039
583,0.1524,0.00525474
942,0.0508,0.0341183
195,0.2286,0.00214345
51,0.3048,0.00331266
598,0.1524,0.00752039
1213,0.0254,0.0214178
1276,0.1016,0.00146332
648,0.1524,0.0208438
347,0.2286,0.00509068
971,0.0254,0.000400682
873,0.0508,0.0264269
1459,0.1016,0.0418756
638,0.1524,0.0193001
1108,0.0254,0.00461377
802,0.0508,0.00529514
23,0.3048,0.00283081
1304,0.1016,0.00202822
530,0.1524,0.00294804
710,0.1524,0.0584113
820,0.0508,0.00566229
550,0.1524,0.00401199
984,0.0254,0.000428464
915,0.0508,0.0282593
94,0.3048,0.00392107
565,0.1524,0.00433288
860,0.0508,0.0150478
885,0.0508,0.0264269
32,0.3048,0.00310138
720,0.1524,0.0584113
680,0.1524,0.0252785
563,0.1524,0.00433288
466,0.1524,0.0015988
422,0.2286,0.0111706
979,0.0254,0.00041229
1345,0.1016,0.00478288
874,0.0508,0.0264269
1383,0.1016,0.0103088
335,0.2286,0.00473801
1366,0.1016,0.00578076
215,0.2286,0.00229336
1119,0.0254,0.0121808
958,0.0508,0.036484
908,0.0508,0.0282593
33,0.3048,0.00310138
1399,0.1016,0.0124596
1272,0.1016,0.00146332
1074,0.0254,0.0043284
1446,0.1016,0.0408268
1409,0.1016,0.0124596
1018,0.0254,0.000848633
632,0.1524,0.0193001
83,0.3048,0.00392107
433,0.2286,0.0123481
911,0.0508,0.0282593
735,0.0508,0.000740478
719,0.1524,0.0584113
807,0.0508,0.00529514
747,0.0508,0.00076193
440,0.2286,0.0132672
753,0.0508,0.000791822
1438,0.1016,0.0368233
535,0.1524,0.00294804
1138,0.0254,0.0130253
731,0.0508,0.000740478
1242,0.1016,0.00121072
937,0.0508,0.0341183
1062,0.0254,0.00420654
1354,0.1016,0.0052139
1006,0.0254,0.000439472
388,0.2286,0.00614329
956,0.0508,0.036484
333,0.2286,0.00473801
520,0.1524,0.00243851
122,0.3048,0.00452492
560,0.1524,0.00433288
58,0.3048,0.00331266
435,0.2286,0.0123481
125,0.3048,0.00452492
993,0.0254,0.000428464
114,0.3048,0.00452492
1156,0.0254,0.016104
503,0.1524,0.00209405
265,0.2286,0.00313525
172,0.3048,0.00497773
1001,0.0254,0.000439472
323,0.2286,0.0042862
1461,0.1016,0.0418756
1010,0.0254,0.000848633
1225,0.0254,0.0214178
570,0.1524,0.00485029
413,0.2286,0.0111706
523,0.1524,0.00243851
97,0.3048,0.00392107
1222,0.0254,0.0214178
379,0.2286,0.00614329
587,0.1524,0.00525474
602,0.1524,0.00752039
1060,0.0254,0.00420654
1079,0.0254,0.0043284
818,0.0508,0.00544854
931,0.0508,0.0289853
345,0.2286,0.00473801
751,0.0508,0.00076193
579,0.1524,0.00485029
465,0.1524,0.0015988
486,0.1524,0.00193287
1441,0.1016,0.0368233
85,0.3048,0.00392107
224,0.2286,0.00253511
1282,0.1016,0.00150092
836,0.0508,0.00580776
99,0.3048,0.00425727
304,0.2286,0.00400603
1413,0.1016,0.0337792
1126,0.0254,0.0121808
525,0.1524,0.00243851
262,0.2286,0.00313525
1414,0.1016,0.0337792
1022,0.0254,0.000873218
229,0.2286,0.00253511
1068,0.0254,0.00420654
559,0.1524,0.00433288
331,0.2286,0.00473801
610,0.1524,0.00752039
66,0.3048,0.00331266
70,0.3048,0.00336729
1230,0.0254,0.0229028
78,0.3048,0.00336729
1134,0.0254,0.0130253
1154,0.0254,0.016104
768,0.0508,0.000812164
760,0.0508,0.000791822
1365,0.1016,0.00578076
1388,0.1016,0.0103088
341,0.2286,0.00473801
730,0.0508,0.000740478
1133,0.0254,0.0130253
1197,0.0254,0.0176631
244,0.2286,0.00293031
599,0.1524,0.00752039
1284,0.1016,0.00150092
223,0.2286,0.00253511
921,0.0508,0.0289853
356,0.2286,0.00509068
445,0.2286,0.0132672
1478,0.1016,0.0437259
87,0.3048,0.00392107
62,0.3048,0.00331266
235,0.2286,0.0027238
1244,0.1016,0.00121072
589,0.1524,0.00525474
1278,0.1016,0.00146332
497,0.1524,0.00193287
844,0.0508,0.014072
2,0.3048,0.00266337
622,0.1524,0.00909175
551,0.1524,0.00401199
556,0.1524,0.00433288
363,0.2286,0.0051942
1042,0.0254,0.000907475
1097,0.0254,0.00449821
787,0.0508,0.00142788
44,0.3048,0.00310138
1308,0.1016,0.002211
1452,0.1016,0.0408268
584,0.1524,0.00525474
162,0.3048,0.00497773
1224,0.0254,0.0214178
651,0.1524,0.0208438
922,0.0508,0.0289853
1484,0.1016,0.0437259
1114,0.0254,0.0121808
991,0.0254,0.000428464
260,0.2286,0.00313525
268,0.2286,0.00313525
1483,0.1016,0.0437259
194,0.2286,0.00214345
6,0.3048,0.00266337
684,0.1524,0.0252785
1052,0.0254,0.000930789
1390,0.1016,0.0103088
1375,0.1016,0.00592927
738,0.0508,0.000740478
537,0.1524,0.00294804
319,0.2286,0.0042862
1043,0.0254,0.000907475
757,0.0508,0.000791822
478,0.1524,0.00172668
856,0.0508,0.0150478
1314,0.1016,0.002211
1331,0.1016,0.00245138
464,0.1524,0.0015988
118,0.3048,0.00452492
36,0.3048,0.00310138
490,0.1524,0.00193287
1098,0.0254,0.00461377
1105,0.0254,0.00461377
909,0.0508,0.0282593
473,0.1524,0.00172668
1359,0.1016,0.0052139
1274,0.1016,0.00146332
1141,0.0254,0.0130253
737,0.0508,0.000740478
501,0.1524,0.00209405
1426,0.1016,0.0368233
1468,0.1016,0.0418756
929,0.0508,0.0289853
815,0.0508,0.00544854
205,0.2286,0.00229336
1475,0.1016,0.0437259
1088,0.0254,0.00449821
291,0.2286,0.00372371
442,0.2286,0.0132672
1038,0.0254,0.000907475
578,0.1524,0.00485029
1498,0.1016,0.0528487
1036,0.0254,0.000907475
529,0.1524,0.00294804
1167,0.0254,0.0165706
1120,0.0254,0.0121808
483,0.1524,0.00172668
1397,0.1016,0.0124596
881,0.0508,0.0264269
1427,0.1016,0.0368233
1128,0.0254,0.0121808
605,0.1524,0.00752039
754,0.0508,0.000791822
1373,0.1016,0.00592927
707,0.1524,0.0483159
686,0.1524,0.0252785
439,0.2286,0.0132672
1070,0.0254,0.0043284
1245,0.1016,0.00121072
1002,0.0254,0.000439472
906,0.0508,0.0282593
1406,0.1016,0.0124596
1102,0.0254,0.00461377
454,0.2286,0.0132672
999,0.0254,0.000439472
554,0.1524,0.00401199
889,0.0508,0.0271925
816,0.0508,0.00544854
1378,0.1016,0.0103088
149,0.3048,0.00529514
510,0.1524,0.00209405
471,0.1524,0.00172668
351,0.2286,0.00509068
112,0.3048,0.00425727
1337,0.1016,0.00251435
1210,0.0254,0.0176631
1372,0.1016,0.00592927
392,0.2286,0.0104404
770,0.0508,0.000812164
893,0.0508,0.0271925
1456,0.1016,0.0408268
797,0.0508,0.00152689
702,0.1524,0.0483159
1182,0.0254,0.0172206
669,0.1524,0.0233328
183,0.3048,0.00579636
1109,0.0254,0.00461377
1392,0.1016,0.0103088
627,0.1524,0.00909175
484,0.1524,0.00172668
500,0.1524,0.00209405
60,0.3048,0.00331266
1387,0.1016,0.0103088
1410,0.1016,0.0337792
884,0.0508,0.0264269
841,0.0508,0.00580776
286,0.2286,0.00372371
748,0.0508,0.00076193
1424,0.1016,0.0337792
920,0.0508,0.0289853
827,0.0508,0.00566229
634,0.1524,0.0193001
1374,0.1016,0.00592927
1391,0.1016,0.0103088
682,0.1524,0.0252785
1145,0.0254,0.0130253
1449,0.1016,0.0408268
1127,0.0254,0.0121808
389,0.2286,0.00614329
689,0.1524,0.0252785
446,0.2286,0.0132672
163,0.3048,0.00497773
432,0.2286,0.0123481
1336,0.1016,0.00251435
477,0.1524,0.00172668
555,0.1524,0.00433288
1486,0.1016,0.0437259
705,0.1524,0.0483159
1417,0.1016,0.0337792
63,0.3048,0.00331266
399,0.2286,0.0104404
