Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
CADILLAC CT5 V,3,6,SemiAuto-10,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXV03.0043,midsize car,5,17,25,20,4,No,442
CADILLAC CT5 V,3,6,SemiAuto-10,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXV03.0043,midsize car,5,17,25,20,4,No,442
CADILLAC CT6,3.6,6,SemiAuto-10,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXV03.6164,large car,5,18,27,21,4,No,420
CADILLAC CT6,3.6,6,SemiAuto-10,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXV03.6164,large car,5,18,27,21,4,No,420
CADILLAC CT6,4.2,8,SemiAuto-10,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LGMXV04.2088,large car,3,14,25,17,3,No,521
CADILLAC CT6,4.2,8,SemiAuto-10,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LGMXV04.2088,large car,3,14,25,17,3,No,521
CADILLAC Escalade,6.2,8,Auto-10,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LGMXT06.2374,standard SUV,3,14,23,17,3,No,517
CADILLAC Escalade,6.2,8,Auto-10,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LGMXT06.2374,standard SUV,3,14,23,17,3,No,517
CADILLAC Escalade,6.2,8,Auto-10,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LGMXT06.2374,standard SUV,3,14,21,17,3,No,537
CADILLAC Escalade,6.2,8,Auto-10,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LGMXT06.2374,standard SUV,3,14,21,17,3,No,537
CADILLAC XT4,2,4,SemiAuto-9,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LGMXT02.0400,small SUV,6,24,30,26,5,No,336
CADILLAC XT4,2,4,SemiAuto-9,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LGMXT02.0400,small SUV,6,24,30,26,5,No,336
CADILLAC XT4,2,4,SemiAuto-9,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LGMXT02.0400,small SUV,6,22,29,24,5,No,366
CADILLAC XT4,2,4,SemiAuto-9,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LGMXT02.0400,small SUV,6,22,29,24,5,No,366
CADILLAC XT5,2,4,SemiAuto-9,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LGMXT02.0500,small SUV,6,21,28,24,5,No,363
CADILLAC XT5,2,4,SemiAuto-9,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LGMXT02.0500,small SUV,6,21,28,24,5,No,363
CADILLAC XT5,2,4,SemiAuto-9,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LGMXT02.0500,small SUV,6,21,26,23,5,No,379
CADILLAC XT5,2,4,SemiAuto-9,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LGMXT02.0500,small SUV,6,21,26,23,5,No,379
CADILLAC XT5,3.6,6,SemiAuto-9,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LGMXT03.6151,small SUV,6,18,26,21,4,No,420
CADILLAC XT5,3.6,6,SemiAuto-9,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LGMXT03.6151,small SUV,6,18,26,21,4,No,420
CADILLAC XT5,3.6,6,SemiAuto-9,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LGMXT03.6151,small SUV,6,18,25,20,4,No,434
CADILLAC XT5,3.6,6,SemiAuto-9,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LGMXT03.6151,small SUV,6,18,25,20,4,No,434
CADILLAC XT6,3.6,6,SemiAuto-9,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LGMXT03.6151,small SUV,6,18,25,20,4,No,437
CADILLAC XT6,3.6,6,SemiAuto-9,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LGMXT03.6151,small SUV,6,18,25,20,4,No,437
CADILLAC XT6,3.6,6,SemiAuto-9,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LGMXT03.6151,small SUV,6,17,24,20,4,No,446
CADILLAC XT6,3.6,6,SemiAuto-9,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LGMXT03.6151,small SUV,6,17,24,20,4,No,446
CHEVROLET Blazer,2,4,Auto-9,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LGMXT02.0500,small SUV,6,21,28,24,5,No,362
CHEVROLET Blazer,2,4,Auto-9,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LGMXT02.0500,small SUV,6,21,28,24,5,No,362
CHEVROLET Blazer,2,4,Auto-9,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LGMXT02.0500,small SUV,6,21,27,23,5,No,374
CHEVROLET Blazer,2,4,Auto-9,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LGMXT02.0500,small SUV,6,21,27,23,5,No,374
CHEVROLET Blazer,2.5,4,Auto-9,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXT02.5201,small SUV,5,21,27,23,5,No,382
CHEVROLET Blazer,2.5,4,Auto-9,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXT02.5201,small SUV,5,21,27,23,5,No,382
CHEVROLET Blazer,3.6,6,Auto-9,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LGMXT03.6151,small SUV,6,19,26,21,4,No,414
CHEVROLET Blazer,3.6,6,Auto-9,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LGMXT03.6151,small SUV,6,19,26,21,4,No,414
CHEVROLET Blazer,3.6,6,Auto-9,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LGMXT03.6151,small SUV,6,18,25,21,4,No,433
CHEVROLET Blazer,3.6,6,Auto-9,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LGMXT03.6151,small SUV,6,18,25,21,4,No,433
CHEVROLET Bolt EV,N/A,N/A,CVT,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,LGMXV00.0002,station wagon,10,127,108,118,10,Elite,0
CHEVROLET Bolt EV,N/A,N/A,CVT,2WD,Electricity,CA,ZEV,California ZEV,LGMXV00.0002,station wagon,10,127,108,118,10,Elite,0
CHEVROLET Camaro,2,4,Man-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXV02.0031,small car,5,20,30,23,5,No,378
CHEVROLET Camaro,2,4,Man-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXV02.0031,small car,5,20,30,23,5,No,378
CHEVROLET Camaro,2,4,SemiAuto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXV02.0031,small car,5,22,31,25,5,No,353
CHEVROLET Camaro,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXV02.0031,small car,5,22,31,25,5,No,353
CHEVROLET Camaro,3.6,6,Man-6,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LGMXV03.6165,small car,6,16,26,20,4,No,451
CHEVROLET Camaro,3.6,6,Man-6,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LGMXV03.6165,small car,6,16,26,20,4,No,451
CHEVROLET Camaro,3.6,6,SemiAuto-10,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LGMXV03.6165,small car,6,19,29,22,4,No,397
CHEVROLET Camaro,3.6,6,SemiAuto-10,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LGMXV03.6165,small car,6,19,29,22,4,No,397
CHEVROLET Camaro,6.2,8,Man-6,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,LGMXV06.2089,small car,1,14,20,16,2,No,565
CHEVROLET Camaro,6.2,8,Man-6,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,LGMXV06.2089,small car,1,14,20,16,2,No,565
CHEVROLET Camaro,6.2,8,Man-6,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,LGMXV06.2090,small car,1,16,24,19,3,No,477
CHEVROLET Camaro,6.2,8,Man-6,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,LGMXV06.2090,small car,1,16,24,19,3,No,477
CHEVROLET Camaro,6.2,8,SemiAuto-10,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,LGMXV06.2089,small car,1,13,21,16,2,No,571
CHEVROLET Camaro,6.2,8,SemiAuto-10,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,LGMXV06.2089,small car,1,13,21,16,2,No,571
CHEVROLET Camaro,6.2,8,SemiAuto-10,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,LGMXV06.2090,small car,1,16,27,20,4,No,451
CHEVROLET Camaro,6.2,8,SemiAuto-10,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,LGMXV06.2090,small car,1,16,27,20,4,No,451
CHEVROLET Colorado,2.5,4,Auto-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXT02.5200,pickup,5,20,26,22,4,No,406
CHEVROLET Colorado,2.5,4,Auto-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXT02.5200,pickup,5,20,26,22,4,No,406
CHEVROLET Colorado,2.5,4,Auto-6,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXT02.5200,pickup,5,19,24,21,4,No,428
CHEVROLET Colorado,2.5,4,Auto-6,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXT02.5200,pickup,5,19,24,21,4,No,428
CHEVROLET Colorado,2.8,4,Auto-6,2WD,Diesel,CA,L3ULEV125,California LEV-III ULEV125,LGMXT02.8358,pickup,3,20,30,23,4,No,435
CHEVROLET Colorado,2.8,4,Auto-6,2WD,Diesel,FA,T3B125,Federal Tier 3 Bin 125,LGMXT02.8358,pickup,3,20,30,23,4,No,435
CHEVROLET Colorado,2.8,4,Auto-6,4WD,Diesel,CA,L3ULEV125,California LEV-III ULEV125,LGMXT02.8358,pickup,3,19,28,22,4,No,456
CHEVROLET Colorado,2.8,4,Auto-6,4WD,Diesel,FA,T3B125,Federal Tier 3 Bin 125,LGMXT02.8358,pickup,3,19,28,22,4,No,456
CHEVROLET Colorado,3.6,6,Auto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXT03.6161,pickup,5,18,25,20,4,No,440
CHEVROLET Colorado,3.6,6,Auto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXT03.6161,pickup,5,18,25,20,4,No,440
CHEVROLET Colorado,3.6,6,Auto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXT03.6161,pickup,5,17,24,19,3,No,461
CHEVROLET Colorado,3.6,6,Auto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXT03.6161,pickup,5,17,24,19,3,No,461
CHEVROLET Colorado ZR2,2.8,4,Auto-6,4WD,Diesel,CA,L3ULEV125,California LEV-III ULEV125,LGMXT02.8357,pickup,3,18,22,19,3,No,525
CHEVROLET Colorado ZR2,2.8,4,Auto-6,4WD,Diesel,FA,T3B125,Federal Tier 3 Bin 125,LGMXT02.8357,pickup,3,18,22,19,3,No,525
CHEVROLET Colorado ZR2,3.6,6,Auto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXT03.6162,pickup,5,16,18,17,3,No,532
CHEVROLET Colorado ZR2,3.6,6,Auto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXT03.6162,pickup,5,16,18,17,3,No,532
CHEVROLET Corvette,6.2,8,SemiAuto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LGMXV06.2091,small car,3,15,27,19,3,No,467
CHEVROLET Corvette,6.2,8,SemiAuto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LGMXV06.2091,small car,3,15,27,19,3,No,467
CHEVROLET Equinox,1.5,4,Auto-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LGMXT01.5090,small SUV,7,26,31,28,6,No,315
CHEVROLET Equinox,1.5,4,Auto-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LGMXT01.5090,small SUV,7,26,31,28,6,No,315
CHEVROLET Equinox,1.5,4,Auto-6,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LGMXT01.5090,small SUV,7,25,30,27,6,No,324
CHEVROLET Equinox,1.5,4,Auto-6,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LGMXT01.5090,small SUV,7,25,30,27,6,No,324
CHEVROLET Equinox,2,4,Auto-9,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXT02.0100,small SUV,5,22,29,25,5,No,350
CHEVROLET Equinox,2,4,Auto-9,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXT02.0100,small SUV,5,22,29,25,5,No,350
CHEVROLET Equinox,2,4,Auto-9,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXT02.0100,small SUV,5,22,28,24,5,No,367
CHEVROLET Equinox,2,4,Auto-9,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXT02.0100,small SUV,5,22,28,24,5,No,367
CHEVROLET Impala,3.6,6,SemiAuto-6,2WD,Ethanol/Gas,CA,L3ULEV70,California LEV-III ULEV70,LGMXV03.6166,large car,5,14/18,20/28,16/22,4,No,396/411
CHEVROLET Impala,3.6,6,SemiAuto-6,2WD,Ethanol/Gas,FA,T3B70,Federal Tier 3 Bin 70,LGMXV03.6166,large car,5,14/18,20/28,16/22,4,No,396/411
CHEVROLET Impala,3.6,6,SemiAuto-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LGMXV03.6048,large car,7,19,28,22,4,No,406
CHEVROLET Impala,3.6,6,SemiAuto-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LGMXV03.6048,large car,7,19,28,22,4,No,406
CHEVROLET Malibu,1.5,4,CVT,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LGMXV01.5002,midsize car,6,29,36,32,7,Yes,298
CHEVROLET Malibu,1.5,4,CVT,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LGMXV01.5002,midsize car,6,29,36,32,7,Yes,298
CHEVROLET Malibu,1.5,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LGMXV01.5010,midsize car,7,29,36,32,7,Yes,298
CHEVROLET Malibu,1.5,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LGMXV01.5010,midsize car,7,29,36,32,7,Yes,298
CHEVROLET Malibu,2,4,Auto-9,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXV02.0031,midsize car,5,22,32,26,5,No,344
CHEVROLET Malibu,2,4,Auto-9,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXV02.0031,midsize car,5,22,32,26,5,No,344
CHEVROLET Silverado,2.7,4,Auto-8,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LGMXT02.7100,pickup,6,19,22,20,4,No,422
CHEVROLET Silverado,2.7,4,Auto-8,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LGMXT02.7100,pickup,6,20,23,21,4,No,421
CHEVROLET Silverado,2.7,4,Auto-8,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LGMXT02.7100,pickup,6,19,22,20,4,No,422
CHEVROLET Silverado,2.7,4,Auto-8,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LGMXT02.7100,pickup,6,20,23,21,4,No,421
CHEVROLET Silverado,2.7,4,Auto-8,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LGMXT02.7100,pickup,6,19,22,20,4,No,442
CHEVROLET Silverado,2.7,4,Auto-8,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LGMXT02.7100,pickup,6,19,22,20,4,No,442
CHEVROLET Silverado,3,6,Auto-10,2WD,Diesel,CA,L3LEV160,California LEV-III LEV160,LGMXT03.0352,pickup,1,23,33,27,5,No,383
CHEVROLET Silverado,3,6,Auto-10,2WD,Diesel,FA,T3B160,Federal Tier 3 Bin 160,LGMXT03.0352,pickup,1,23,33,27,5,No,383
CHEVROLET Silverado,3,6,Auto-10,4WD,Diesel,CA,L3LEV160,California LEV-III LEV160,LGMXT03.0352,pickup,1,23,29,25,4,No,405
CHEVROLET Silverado,3,6,Auto-10,4WD,Diesel,FA,T3B160,Federal Tier 3 Bin 160,LGMXT03.0352,pickup,1,23,29,25,4,No,405
CHEVROLET Silverado,4.3,6,Auto-6,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LGMXT04.3186,pickup,6,16,21,17,3,No,523
CHEVROLET Silverado,4.3,6,Auto-6,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LGMXT04.3186,special purpose,6,15,19,17,3,No,523
CHEVROLET Silverado,4.3,6,Auto-6,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LGMXT04.3186,pickup,6,16,21,17,3,No,523
CHEVROLET Silverado,4.3,6,Auto-6,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LGMXT04.3186,special purpose,6,15,19,17,3,No,523
CHEVROLET Silverado,4.3,6,Auto-6,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LGMXT04.3186,pickup,6,15,20,17,3,No,532
CHEVROLET Silverado,4.3,6,Auto-6,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LGMXT04.3186,special purpose,6,14,16,15,2,No,594
CHEVROLET Silverado,4.3,6,Auto-6,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LGMXT04.3186,pickup,6,15,20,17,3,No,532
CHEVROLET Silverado,4.3,6,Auto-6,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LGMXT04.3186,special purpose,6,14,16,15,2,No,594
CHEVROLET Silverado,5.3,8,Auto-10,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXT05.3386,pickup,5,16,22,19,3,No,477
CHEVROLET Silverado,5.3,8,Auto-10,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXT05.3386,pickup,5,16,22,19,3,No,477
CHEVROLET Silverado,5.3,8,Auto-6,2WD,Ethanol/Gas,CA,L3ULEV125,California LEV-III ULEV125,LGMXT05.3385,pickup,3,11/15,14/19,12/16,2,No,531/545
CHEVROLET Silverado,5.3,8,Auto-6,2WD,Ethanol/Gas,FA,T3B125,Federal Tier 3 Bin 125,LGMXT05.3385,pickup,3,11/15,14/19,12/16,2,No,531/545
CHEVROLET Silverado,5.3,8,Auto-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXT05.3386,pickup,5,15,21,17,3,No,524
CHEVROLET Silverado,5.3,8,Auto-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXT05.3386,special purpose,5,14,18,15,2,No,582
CHEVROLET Silverado,5.3,8,Auto-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXT05.3386,pickup,5,15,21,17,3,No,524
CHEVROLET Silverado,5.3,8,Auto-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXT05.3386,special purpose,5,14,18,15,2,No,582
CHEVROLET Silverado,5.3,8,Auto-6,4WD,Ethanol/Gas,CA,L3ULEV125,California LEV-III ULEV125,LGMXT05.3385,pickup,3,11/14,13/18,12/16,2,No,541/563
CHEVROLET Silverado,5.3,8,Auto-6,4WD,Ethanol/Gas,FA,T3B125,Federal Tier 3 Bin 125,LGMXT05.3385,pickup,3,11/14,13/18,12/16,2,No,541/563
CHEVROLET Silverado,5.3,8,Auto-6,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXT05.3386,pickup,5,15,20,17,3,No,525
CHEVROLET Silverado,5.3,8,Auto-6,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXT05.3386,special purpose,5,14,17,15,2,No,593
CHEVROLET Silverado,5.3,8,Auto-6,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXT05.3386,pickup,5,15,20,17,3,No,525
CHEVROLET Silverado,5.3,8,Auto-6,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXT05.3386,special purpose,5,14,17,15,2,No,593
CHEVROLET Silverado,5.3,8,Auto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXT05.3386,pickup,5,17,23,19,3,No,460
CHEVROLET Silverado,5.3,8,Auto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXT05.3386,pickup,5,17,24,20,4,No,448
CHEVROLET Silverado,5.3,8,Auto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXT05.3386,pickup,5,17,23,19,3,No,460
CHEVROLET Silverado,5.3,8,Auto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXT05.3386,pickup,5,17,24,20,4,No,448
CHEVROLET Silverado,5.3,8,Auto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXT05.3386,pickup,5,16,22,18,3,No,494
CHEVROLET Silverado,5.3,8,Auto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXT05.3386,pickup,5,16,22,18,3,No,494
CHEVROLET Silverado,6.2,8,Auto-10,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LGMXT06.2375,pickup,3,16,20,17,3,No,516
CHEVROLET Silverado,6.2,8,Auto-10,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LGMXT06.2375,pickup,3,16,20,17,3,No,516
CHEVROLET Silverado 4WD Trail Boss,4.3,6,Auto-6,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,LGMXT04.3186,pickup,6,14,18,16,2,No,556
CHEVROLET Silverado 4WD Trail Boss,4.3,6,Auto-6,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,LGMXT04.3186,pickup,6,14,18,16,2,No,556
CHEVROLET Silverado 4WD Trail Boss,5.3,8,Auto-10,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXT05.3386,pickup,5,16,21,18,3,No,494
CHEVROLET Silverado 4WD Trail Boss,5.3,8,Auto-10,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXT05.3386,pickup,5,16,21,18,3,No,494
CHEVROLET Silverado 4WD Trail Boss,5.3,8,Auto-6,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXT05.3386,pickup,5,14,18,16,2,No,561
CHEVROLET Silverado 4WD Trail Boss,5.3,8,Auto-6,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXT05.3386,pickup,5,14,18,16,2,No,561
CHEVROLET Silverado 4WD Trail Boss,5.3,8,Auto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXT05.3386,pickup,5,16,21,18,3,No,486
CHEVROLET Silverado 4WD Trail Boss,5.3,8,Auto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXT05.3386,pickup,5,16,21,18,3,No,486
CHEVROLET Silverado 4WD Trail Boss,6.2,8,Auto-10,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LGMXT06.2375,pickup,3,14,18,15,2,No,575
CHEVROLET Silverado 4WD Trail Boss,6.2,8,Auto-10,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LGMXT06.2375,pickup,3,15,19,17,3,No,515
CHEVROLET Silverado 4WD Trail Boss,6.2,8,Auto-10,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LGMXT06.2375,pickup,3,14,18,15,2,No,575
CHEVROLET Silverado 4WD Trail Boss,6.2,8,Auto-10,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LGMXT06.2375,pickup,3,15,19,17,3,No,515
CHEVROLET Sonic,1.4,4,SemiAuto-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXV01.4099,small car,5,26,34,29,6,No,308
CHEVROLET Sonic,1.4,4,SemiAuto-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXV01.4099,small car,5,26,34,29,6,No,308
CHEVROLET Sonic 5,1.4,4,SemiAuto-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXV01.4099,station wagon,5,26,34,29,6,No,308
CHEVROLET Sonic 5,1.4,4,SemiAuto-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXV01.4099,station wagon,5,26,34,29,6,No,308
CHEVROLET Spark,1.4,4,CVT,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXV01.4050,small car,5,30,38,33,7,Yes,269
CHEVROLET Spark,1.4,4,CVT,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXV01.4050,small car,5,30,38,33,7,Yes,269
CHEVROLET Spark,1.4,4,Man-5,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXV01.4050,small car,5,29,38,33,7,Yes,273
CHEVROLET Spark,1.4,4,Man-5,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXV01.4050,small car,5,29,38,33,7,Yes,273
CHEVROLET Spark Activ,1.4,4,CVT,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXV01.4050,small car,5,30,37,33,7,Yes,269
CHEVROLET Spark Activ,1.4,4,CVT,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXV01.4050,small car,5,30,37,33,7,Yes,269
CHEVROLET Spark Activ,1.4,4,Man-5,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LGMXV01.4050,small car,5,29,37,32,7,Yes,278
CHEVROLET Spark Activ,1.4,4,Man-5,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LGMXV01.4050,small car,5,29,37,32,7,Yes,278
CHEVROLET Suburban 1500,5.3,8,Auto-6,2WD,Ethanol/Gas,CA,L3ULEV125,California LEV-III ULEV125,LGMXT05.3382,standard SUV,3,11/15,17/22,13/18,3,No,479/505
CHEVROLET Suburban 1500,5.3,8,Auto-6,2WD,Ethanol/Gas,FA,T3B125,Federal Tier 3 Bin 125,LGMXT05.3382,standard SUV,3,11/15,17/22,13/18,3,No,479/505
CHEVROLET Suburban 1500,5.3,8,Auto-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LGMXT05.3384,standard SUV,3,15,22,18,3,No,505
CHEVROLET Suburban 1500,5.3,8,Auto-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LGMXT05.3384,standard SUV,3,15,22,18,3,No,505
CHEVROLET Suburban 1500,5.3,8,Auto-6,4WD,Ethanol/Gas,CA,L3ULEV125,California LEV-III ULEV125,LGMXT05.3382,standard SUV,3,11/14,15/21,12/16,2,No,513/543
