ID,Frequency (Hz),Attack_Angle (deg),FS_Velocity (m/s)
51,315,0.0,31.7
598,400,7.2,71.3
1213,500,22.2,71.3
1276,3150,0.0,39.6
648,315,9.9,55.5
347,315,4.0,31.7
971,16000,0.0,71.3
873,400,15.4,71.3
1459,250,12.3,31.7
638,1250,9.9,71.3
1108,2000,9.5,31.7
802,1600,8.4,71.3
23,3150,0.0,55.5
1304,6300,3.3,71.3
530,1000,2.7,39.6
710,200,12.6,39.6
820,400,8.4,39.6
550,2500,5.4,71.3
984,1600,0.0,39.6
915,3150,15.4,39.6
94,6300,1.5,39.6
565,4000,5.4,55.5
860,500,11.2,39.6
885,6300,15.4,71.3
32,315,0.0,39.6
720,2000,12.6,39.6
680,315,9.9,31.7
563,2500,5.4,55.5
466,10000,0.0,71.3
422,6300,7.3,55.5
979,8000,0.0,55.5
1345,630,6.7,71.3
874,500,15.4,71.3
1383,630,8.9,71.3
335,800,4.0,39.6
1366,1250,6.7,39.6
215,6300,0.0,55.5
1119,800,12.7,71.3
958,1600,19.7,39.6
908,630,15.4,39.6
33,400,0.0,39.6
1399,630,8.9,39.6
1272,1250,0.0,39.6
1074,1250,9.5,55.5
1446,500,12.3,39.6
1409,6300,8.9,39.6
1018,20000,4.8,71.3
632,315,9.9,71.3
83,500,1.5,39.6
433,2000,7.3,39.6
911,1250,15.4,39.6
735,6300,0.0,71.3
719,1600,12.6,39.6
807,5000,8.4,71.3
747,5000,0.0,55.5
440,250,7.3,31.7
753,1000,0.0,39.6
1438,3150,12.3,55.5
535,3150,2.7,39.6
1138,1250,12.7,39.6
731,2500,0.0,71.3
1242,800,0.0,71.3
937,315,19.7,71.3
1062,1600,9.5,71.3
1354,630,6.7,55.5
1006,12500,0.0,31.7
388,4000,5.3,39.6
956,1000,19.7,39.6
333,500,4.0,39.6
520,4000,2.7,71.3
122,3150,3.0,55.5
560,1250,5.4,55.5
58,1600,0.0,31.7
435,3150,7.3,39.6
125,6300,3.0,55.5
993,12500,0.0,39.6
114,500,3.0,55.5
1156,1250,17.4,71.3
503,1250,0.0,31.7
265,1600,2.0,55.5
172,8000,4.0,71.3
1001,4000,0.0,31.7
323,1600,4.0,55.5
1461,400,12.3,31.7
1010,3150,4.8,71.3
1225,8000,22.2,71.3
570,400,5.4,39.6
413,800,7.3,55.5
523,8000,2.7,71.3
97,12500,1.5,39.6
1222,4000,22.2,71.3
379,500,5.3,39.6
587,800,5.4,31.7
602,1000,7.2,71.3
1060,1000,9.5,71.3
1079,4000,9.5,55.5
818,4000,8.4,55.5
931,3150,15.4,31.7
345,8000,4.0,39.6
751,12500,0.0,55.5
579,3150,5.4,39.6
465,8000,0.0,71.3
486,630,0.0,39.6
1441,6300,12.3,55.5
85,800,1.5,39.6
224,2000,0.0,39.6
1282,630,0.0,31.7
836,1250,8.4,31.7
99,500,3.0,71.3
304,1250,4.0,71.3
1413,400,12.3,71.3
1126,4000,12.7,71.3
525,12500,2.7,71.3
262,800,2.0,55.5
1414,500,12.3,71.3
1022,3150,4.8,55.5
229,6300,0.0,39.6
1068,6300,9.5,71.3
559,1000,5.4,55.5
331,315,4.0,39.6
610,6300,7.2,71.3
66,10000,0.0,31.7
70,1600,1.5,71.3
1230,500,22.2,39.6
78,10000,1.5,71.3
1134,500,12.7,39.6
1154,800,17.4,71.3
768,1600,0.0,31.7
760,5000,0.0,39.6
1365,1000,6.7,39.6
1388,2000,8.9,71.3
341,3150,4.0,39.6
730,2000,0.0,71.3
1133,400,12.7,39.6
1197,250,17.4,31.7
244,400,2.0,71.3
599,500,7.2,71.3
1284,1000,0.0,31.7
223,1600,0.0,39.6
921,315,15.4,31.7
356,2500,4.0,31.7
445,800,7.3,31.7
1478,500,15.6,71.3
87,1250,1.5,39.6
62,4000,0.0,31.7
235,1000,0.0,31.7
1244,1250,0.0,71.3
589,1250,5.4,31.7
1278,5000,0.0,39.6
497,8000,0.0,39.6
844,315,11.2,71.3
2,1000,0.0,71.3
622,2000,7.2,39.6
551,3150,5.4,71.3
556,500,5.4,55.5
363,630,5.3,71.3
1042,6300,4.8,39.6
1097,6300,9.5,39.6
787,12500,4.2,71.3
44,5000,0.0,39.6
1308,800,3.3,55.5
1452,2000,12.3,39.6
584,400,5.4,31.7
162,800,4.0,71.3
1224,6300,22.2,71.3
651,630,9.9,55.5
922,400,15.4,31.7
1484,2000,15.6,71.3
1114,250,12.7,71.3
991,8000,0.0,39.6
260,500,2.0,55.5
268,3150,2.0,55.5
1483,1600,15.6,71.3
194,4000,0.0,71.3
6,2500,0.0,71.3
684,800,9.9,31.7
1052,2500,4.8,31.7
1390,3150,8.9,71.3
1375,1250,6.7,31.7
738,12500,0.0,71.3
537,5000,2.7,39.6
319,630,4.0,55.5
1043,8000,4.8,39.6
757,2500,0.0,39.6
478,4000,0.0,55.5
856,200,11.2,39.6
1314,3150,3.3,55.5
1331,8000,3.3,39.6
464,6300,0.0,71.3
118,1250,3.0,55.5
36,800,0.0,39.6
490,1600,0.0,39.6
1098,200,9.5,31.7
1105,1000,9.5,31.7
909,800,15.4,39.6
473,1250,0.0,55.5
1359,2000,6.7,55.5
1274,2000,0.0,39.6
1141,2500,12.7,39.6
737,10000,0.0,71.3
501,800,0.0,31.7
1426,200,12.3,55.5
1468,2000,12.3,31.7
929,2000,15.4,31.7
815,2000,8.4,55.5
205,630,0.0,55.5
1475,250,15.6,71.3
1088,800,9.5,39.6
291,1000,2.0,31.7
442,400,7.3,31.7
1038,2500,4.8,39.6
578,2500,5.4,39.6
1498,2000,15.6,39.6
1036,1600,4.8,39.6
529,800,2.7,39.6
1167,315,17.4,55.5
1120,1000,12.7,71.3
483,12500,0.0,55.5
1397,400,8.9,39.6
881,2500,15.4,71.3
1427,250,12.3,55.5
1128,6300,12.7,71.3
605,2000,7.2,71.3
754,1250,0.0,39.6
1373,800,6.7,31.7
707,4000,12.6,71.3
686,1250,9.9,31.7
439,200,7.3,31.7
1070,500,9.5,55.5
1245,1600,0.0,71.3
1002,5000,0.0,31.7
906,400,15.4,39.6
1406,3150,8.9,39.6
1102,500,9.5,31.7
454,6300,7.3,31.7
999,2500,0.0,31.7
554,6300,5.4,71.3
889,315,15.4,55.5
816,2500,8.4,55.5
1378,200,8.9,71.3
149,1250,3.0,31.7
510,6300,0.0,31.7
471,800,0.0,55.5
351,800,4.0,31.7
112,10000,3.0,71.3
1337,1600,3.3,31.7
1210,5000,17.4,31.7
1372,630,6.7,31.7
392,250,7.3,71.3
770,2500,0.0,31.7
893,800,15.4,55.5
1456,5000,12.3,39.6
797,8000,4.2,39.6
702,1250,12.6,71.3
1182,250,17.4,39.6
669,1000,9.9,39.6
183,1600,4.0,39.6
1109,2500,9.5,31.7
1392,5000,8.9,71.3
627,6300,7.2,39.6
484,16000,0.0,55.5
500,630,0.0,31.7
60,2500,0.0,31.7
1387,1600,8.9,71.3
1410,200,12.3,71.3
884,5000,15.4,71.3
841,4000,8.4,31.7
286,315,2.0,31.7
748,6300,0.0,55.5
1424,5000,12.3,71.3
920,250,15.4,31.7
827,2000,8.4,39.6
634,500,9.9,71.3
1374,1000,6.7,31.7
1391,4000,8.9,71.3
682,500,9.9,31.7
1145,6300,12.7,39.6
1449,1000,12.3,39.6
1127,5000,12.7,71.3
389,5000,5.3,39.6
689,2500,9.9,31.7
446,1000,7.3,31.7
163,1000,4.0,71.3
432,1600,7.3,39.6
1336,1250,3.3,31.7
477,3150,0.0,55.5
555,400,5.4,55.5
1486,3150,15.6,71.3
705,2500,12.6,71.3
1417,1000,12.3,71.3
63,5000,0.0,31.7
399,1250,7.3,71.3
1014,8000,4.8,71.3
1188,1000,17.4,39.6
1117,500,12.7,71.3
1313,2500,3.3,55.5
283,4000,2.0,39.6
552,4000,5.4,71.3
424,250,7.3,39.6
303,1000,4.0,71.3
698,500,12.6,71.3
326,3150,4.0,55.5
1395,250,8.9,39.6
625,4000,7.2,39.6
270,5000,2.0,55.5
721,2500,12.6,39.6
228,5000,0.0,39.6
1318,8000,3.3,55.5
1110,3150,9.5,31.7
895,1250,15.4,55.5
1338,2000,3.3,31.7
517,2000,2.7,71.3
144,400,3.0,31.7
390,6300,5.3,39.6
1339,2500,3.3,31.7
574,1000,5.4,39.6
903,200,15.4,39.6
655,1600,9.9,55.5
48,12500,0.0,39.6
939,500,19.7,71.3
803,2000,8.4,71.3
1024,5000,4.8,55.5
1251,6300,0.0,71.3
1027,10000,4.8,55.5
546,1000,5.4,71.3
1159,2500,17.4,71.3
1149,250,17.4,71.3
966,5000,0.0,71.3
671,1600,9.9,39.6
393,315,7.3,71.3
1217,1250,22.2,71.3
1357,1250,6.7,55.5
708,5000,12.6,71.3
830,4000,8.4,39.6
314,12500,4.0,71.3
426,400,7.3,39.6
628,8000,7.2,39.6
1431,630,12.3,55.5
1168,400,17.4,55.5
1238,3150,22.2,39.6
1434,1250,12.3,55.5
334,630,4.0,39.6
1207,2500,17.4,31.7
670,1250,9.9,39.6
344,6300,4.0,39.6
833,630,8.4,31.7
531,1250,2.7,39.6
170,5000,4.0,71.3
1112,5000,9.5,31.7
1255,630,0.0,55.5
572,630,5.4,39.6
548,1600,5.4,71.3
425,315,7.3,39.6
866,2000,11.2,39.6
740,1000,0.0,55.5
1310,1250,3.3,55.5
652,800,9.9,55.5
476,2500,0.0,55.5
1447,630,12.3,39.6
340,2500,4.0,39.6
1151,400,17.4,71.3
542,400,5.4,71.3
590,1600,5.4,31.7
1463,630,12.3,31.7
997,1600,0.0,31.7
837,1600,8.4,31.7
1423,4000,12.3,71.3
988,4000,0.0,39.6
420,4000,7.3,55.5
398,1000,7.3,71.3
623,2500,7.2,39.6
703,1600,12.6,71.3
1329,5000,3.3,39.6
46,8000,0.0,39.6
1233,1000,22.2,39.6
595,5000,5.4,31.7
786,10000,4.2,71.3
995,1000,0.0,31.7
1400,800,8.9,39.6
384,1600,5.3,39.6
1170,630,17.4,55.5
1025,6300,4.8,55.5
1017,16000,4.8,71.3
596,6300,5.4,31.7
972,20000,0.0,71.3
4,1600,0.0,71.3
926,1000,15.4,31.7
1344,8000,3.3,31.7
1004,8000,0.0,31.7
405,5000,7.3,71.3
619,1000,7.2,39.6
1319,10000,3.3,55.5
886,8000,15.4,71.3
1100,315,9.5,31.7
597,315,7.2,71.3
295,2500,2.0,31.7
289,630,2.0,31.7
994,16000,0.0,39.6
402,2500,7.3,71.3
822,630,8.4,39.6
527,500,2.7,39.6
1094,3150,9.5,39.6
1443,250,12.3,39.6
1369,315,6.7,31.7
538,6300,2.7,39.6
159,400,4.0,71.3
653,1000,9.9,55.5
315,16000,4.0,71.3
801,1250,8.4,71.3
72,2500,1.5,71.3
1257,1000,0.0,55.5
1183,315,17.4,39.6
1153,630,17.4,71.3
409,315,7.3,55.5
7,3150,0.0,71.3
135,1600,3.0,39.6
857,250,11.2,39.6
970,12500,0.0,71.3
1205,1600,17.4,31.7
780,2500,4.2,71.3
762,8000,0.0,39.6
138,3150,3.0,39.6
431,1250,7.3,39.6
1111,4000,9.5,31.7
55,800,0.0,31.7
28,10000,0.0,55.5
185,2500,4.0,39.6
944,1600,19.7,71.3
1495,1000,15.6,39.6
1479,630,15.6,71.3
1203,1000,17.4,31.7
1279,6300,0.0,39.6
108,4000,3.0,71.3
1437,2500,12.3,55.5
274,500,2.0,39.6
109,5000,3.0,71.3
206,800,0.0,55.5
673,2500,9.9,39.6
1020,2000,4.8,55.5
410,400,7.3,55.5
644,5000,9.9,71.3
750,10000,0.0,55.5
1482,1250,15.6,71.3
1277,4000,0.0,39.6
169,4000,4.0,71.3
713,400,12.6,39.6
1061,1250,9.5,71.3
1175,2000,17.4,55.5
339,2000,4.0,39.6
1480,800,15.6,71.3
438,6300,7.3,39.6
10,6300,0.0,71.3
507,3150,0.0,31.7
1164,8000,17.4,71.3
383,1250,5.3,39.6
1503,6300,15.6,39.6
1289,3150,0.0,31.7
1131,250,12.7,39.6
1455,4000,12.3,39.6
924,630,15.4,31.7
1083,250,9.5,39.6
639,1600,9.9,71.3
1209,4000,17.4,31.7
190,1600,0.0,71.3
1370,400,6.7,31.7
346,250,4.0,31.7
1403,1600,8.9,39.6
455,800,0.0,71.3
1425,6300,12.3,71.3
254,4000,2.0,71.3
221,1000,0.0,39.6
927,1250,15.4,31.7
139,4000,3.0,39.6
155,5000,3.0,31.7
764,12500,0.0,39.6
52,400,0.0,31.7
412,630,7.3,55.5
1140,2000,12.7,39.6
675,4000,9.9,39.6
259,400,2.0,55.5
211,2500,0.0,55.5
533,2000,2.7,39.6
499,500,0.0,31.7
962,4000,19.7,39.6
765,800,0.0,31.7
1488,200,15.6,39.6
1368,2000,6.7,39.6
668,800,9.9,39.6
858,315,11.2,39.6
1267,10000,0.0,55.5
524,10000,2.7,71.3
1394,200,8.9,39.6
1035,1250,4.8,39.6
1473,6300,12.3,31.7
515,1250,2.7,71.3
849,1000,11.2,71.3
276,800,2.0,39.6
992,10000,0.0,39.6
553,5000,5.4,71.3
371,4000,5.3,71.3
212,3150,0.0,55.5
1219,2000,22.2,71.3
90,2500,1.5,39.6
1499,2500,15.6,39.6
463,5000,0.0,71.3
1436,2000,12.3,55.5
1324,1600,3.3,39.6
592,2500,5.4,31.7
1212,400,22.2,71.3
1316,5000,3.3,55.5
29,12500,0.0,55.5
1239,4000,22.2,39.6
42,3150,0.0,39.6
726,800,0.0,71.3
165,1600,4.0,71.3
474,1600,0.0,55.5
158,315,4.0,71.3
588,1000,5.4,31.7
495,5000,0.0,39.6
961,3150,19.7,39.6
250,1600,2.0,71.3
902,6300,15.4,55.5
776,10000,0.0,31.7
427,500,7.3,39.6
848,800,11.2,71.3
306,2000,4.0,71.3
697,400,12.6,71.3
1206,2000,17.4,31.7
231,400,0.0,31.7
1104,800,9.5,31.7
182,1250,4.0,39.6
469,500,0.0,55.5
1404,2000,8.9,39.6
1346,800,6.7,71.3
839,2500,8.4,31.7
173,10000,4.0,71.3
943,1250,19.7,71.3
297,4000,2.0,31.7
249,1250,2.0,71.3
16,630,0.0,55.5
642,3150,9.9,71.3
174,12500,4.0,71.3
842,200,11.2,71.3
96,10000,1.5,39.6
381,800,5.3,39.6
678,200,9.9,31.7
175,250,4.0,39.6
1177,3150,17.4,55.5
100,630,3.0,71.3
288,500,2.0,31.7
106,2500,3.0,71.3
1000,3150,0.0,31.7
728,1250,0.0,71.3
1,800,0.0,71.3
1315,4000,3.3,55.5
761,6300,0.0,39.6
657,2500,9.9,55.5
43,4000,0.0,39.6
1029,16000,4.8,55.5
541,12500,2.7,39.6
468,16000,0.0,71.3
712,315,12.6,39.6
795,5000,4.2,39.6
1234,1250,22.2,39.6
1411,250,12.3,71.3
120,2000,3.0,55.5
706,3150,12.6,71.3
467,12500,0.0,71.3
219,630,0.0,39.6
1057,8000,4.8,31.7
493,3150,0.0,39.6
287,400,2.0,31.7
545,800,5.4,71.3
1445,400,12.3,39.6
113,400,3.0,55.5
214,5000,0.0,55.5
871,250,15.4,71.3
1419,1600,12.3,71.3
1174,1600,17.4,55.5
1476,315,15.6,71.3
1063,2000,9.5,71.3
327,4000,4.0,55.5
701,1000,12.6,71.3
1015,10000,4.8,71.3
366,1250,5.3,71.3
505,2000,0.0,31.7
1071,630,9.5,55.5
626,5000,7.2,39.6
831,400,8.4,31.7
1204,1250,17.4,31.7
508,4000,0.0,31.7
1049,1250,4.8,31.7
318,500,4.0,55.5
103,1250,3.0,71.3
353,1250,4.0,31.7
151,2000,3.0,31.7
1487,4000,15.6,71.3
1129,8000,12.7,71.3
506,2500,0.0,31.7
650,500,9.9,55.5
724,5000,12.6,39.6
1298,1600,3.3,71.3
832,500,8.4,31.7
718,1250,12.6,39.6
116,800,3.0,55.5
411,500,7.3,55.5
853,2500,11.2,71.3
904,250,15.4,39.6
1048,1000,4.8,31.7
294,2000,2.0,31.7
1501,4000,15.6,39.6
1189,1250,17.4,39.6
1106,1250,9.5,31.7
532,1600,2.7,39.6
98,400,3.0,71.3
887,200,15.4,55.5
1198,315,17.4,31.7
772,4000,0.0,31.7
452,4000,7.3,31.7
279,1600,2.0,39.6
1227,250,22.2,39.6
1281,10000,0.0,39.6
1081,6300,9.5,55.5
1232,800,22.2,39.6
996,1250,0.0,31.7
1066,4000,9.5,71.3
1246,2000,0.0,71.3
1146,8000,12.7,39.6
1301,3150,3.3,71.3
322,1250,4.0,55.5
957,1250,19.7,39.6
374,8000,5.3,71.3
759,4000,0.0,39.6
1323,1250,3.3,39.6
1265,6300,0.0,55.5
444,630,7.3,31.7
1351,2500,6.7,71.3
1165,200,17.4,55.5
479,5000,0.0,55.5
277,1000,2.0,39.6
609,5000,7.2,71.3
1467,1600,12.3,31.7
1300,2500,3.3,71.3
558,800,5.4,55.5
189,1250,0.0,71.3
1147,10000,12.7,39.6
92,4000,1.5,39.6
1342,5000,3.3,31.7
1471,4000,12.3,31.7
1288,2500,0.0,31.7
186,3150,4.0,39.6
80,16000,1.5,71.3
278,1250,2.0,39.6
633,400,9.9,71.3
777,12500,0.0,31.7
1090,1250,9.5,39.6
851,1600,11.2,71.3
905,315,15.4,39.6
59,2000,0.0,31.7
1235,1600,22.2,39.6
683,630,9.9,31.7
342,4000,4.0,39.6
482,10000,0.0,55.5
1408,5000,8.9,39.6
1252,8000,0.0,71.3
1253,10000,0.0,71.3
450,2500,7.3,31.7
1193,3150,17.4,39.6
1321,800,3.3,39.6
69,1250,1.5,71.3
1355,800,6.7,55.5
20,1600,0.0,55.5
1171,800,17.4,55.5
302,800,4.0,71.3
855,4000,11.2,71.3
1401,1000,8.9,39.6
242,5000,0.0,31.7
1312,2000,3.3,55.5
973,2000,0.0,55.5
896,1600,15.4,55.5
1412,315,12.3,71.3
492,2500,0.0,39.6
749,8000,0.0,55.5
192,2500,0.0,71.3
1092,2000,9.5,39.6
891,500,15.4,55.5
1169,500,17.4,55.5
692,5000,9.9,31.7
976,4000,0.0,55.5
1065,3150,9.5,71.3
1087,630,9.5,39.6
361,400,5.3,71.3
1415,630,12.3,71.3
349,500,4.0,31.7
1152,500,17.4,71.3
953,500,19.7,39.6
1466,1250,12.3,31.7
1287,2000,0.0,31.7
1160,3150,17.4,71.3
30,200,0.0,39.6
829,3150,8.4,39.6
281,2500,2.0,39.6
1107,1600,9.5,31.7
45,6300,0.0,39.6
417,2000,7.3,55.5
1216,1000,22.2,71.3
316,20000,4.0,71.3
216,315,0.0,39.6
1166,250,17.4,55.5
1293,8000,0.0,31.7
1067,5000,9.5,71.3
715,630,12.6,39.6
285,6300,2.0,39.6
74,4000,1.5,71.3
1405,2500,8.9,39.6
367,1600,5.3,71.3
370,3150,5.3,71.3
1124,2500,12.7,71.3
180,800,4.0,39.6
1302,4000,3.3,71.3
391,200,7.3,71.3
1196,200,17.4,31.7
1416,800,12.3,71.3
429,800,7.3,39.6
1089,1000,9.5,39.6
923,500,15.4,31.7
518,2500,2.7,71.3
978,6300,0.0,55.5
618,800,7.2,39.6
845,400,11.2,71.3
879,1600,15.4,71.3
38,1250,0.0,39.6
1172,1000,17.4,55.5
998,2000,0.0,31.7
1118,630,12.7,71.3
137,2500,3.0,39.6
809,500,8.4,55.5
778,1600,4.2,71.3
888,250,15.4,55.5
404,4000,7.3,71.3
365,1000,5.3,71.3
912,1600,15.4,39.6
39,1600,0.0,39.6
502,1000,0.0,31.7
204,500,0.0,55.5
534,2500,2.7,39.6
